   Region 2:   Midwest                     162   4.10       319   4.40
   Region 3:   South                       465  11.78       920  12.70
   Region 4:   West                        223   5.65       403   5.56
      33 013   County Non-Migrants       43815            97100
33 015   Rockingham Total Migrati NH     10300            20365
  33 011 Hillsborough             NH      1188  11.53      2122  10.42
  25 009 Essex                    Ma       986   9.57      1730   8.49
  33 017 Strafford                NH       858   8.33      1508   7.40
  25 017 Middlesex                Ma       611   5.93       981   4.82
  23 031 York                     Me       353   3.43       727   3.57
  57 001 Foreign / Overseas       FR       290   2.82       654   3.21
  33 013 Merrimack                NH       282   2.74       495   2.43
  25 025 Suffolk                  Ma       154   1.50       208   1.02
  35 009 Curry                    NM       125   1.21       402   1.97
  23 005 Cumberland               Me       102    .99       193    .95
  25 021 Norfolk                  Ma        81    .79       145    .71
  33 003 Carroll                  NH        79    .77       153    .75
  12 011 Broward                  Fl        77    .75       142    .70
  12 103 Pinellas                 Fl        75    .73       135    .66
  25 027 Worcester                Ma        72    .70       146    .72
  04 013 Maricopa                 Az        71    .69       157    .77
  33 009 Grafton                  NH        69    .67       118    .58
  33 001 Belknap                  NH        62    .60       121    .59
  06 037 Los Angeles              Ca        59    .57        79    .39
  06 073 San Diego                Ca        59    .57        90    .44
  12 057 Hillsborough             Fl        58    .56       138    .68
  12 099 Palm Beach               Fl        55    .53        97    .48
  31 153 Sarpy                    Ne        54    .52       172    .84
  48 439 Tarrant                  Tx        47    .46       135    .66
  12 025 Dade                     Fl        46    .45       103    .51
  12 009 Brevard                  Fl        45    .44        93    .46
  06 047 Merced                   Ca        43    .42       125    .61
  09 011 New London               Ct        42    .41        77    .38
  25 023 Plymouth                 Ma        42    .41        64    .31
  45 019 Charleston               SC        41    .40        83    .41
  53 033 King                     Wa        41    .40        56    .27
  06 059 Orange                   Ca        40    .39        74    .36
  06 085 Santa Clara              Ca        39    .38        64    .31
  12 071 Lee                      Fl        39    .38        66    .32
  36 065 Oneida                   NY        39    .38       135    .66
  12 095 Orange                   Fl        38    .37        63    .31
  33 005 Cheshire                 NH        38    .37        65    .32
  32 003 Clark                    Nv        38    .37        68    .33
  09 003 Hartford                 Ct        38    .37        64    .31
