06 001   Alameda Total Migration  Ca     38713            71678
  06 007 Butte                    Ca       189    .83       325    .77
  06 055 Napa                     Ca       185    .81       359    .85
  06 017 El Dorado                Ca       184    .81       409    .96
  48 201 Harris                   Tx       170    .75       398    .94
  06 113 Yolo                     Ca       151    .67       243    .57
  32 031 Washoe                   Nv       131    .58       237    .56
  06 089 Shasta                   Ca       120    .53       286    .67
  06 029 Kern                     Ca       119    .52       288    .68
  06 053 Monterey                 Ca       112    .49       224    .53
  15 003 Honolulu                 Hi       109    .48       196    .46
  06 065 Riverside                Ca       105    .46       211    .50
  06 071 San Bernardino           Ca       102    .45       206    .49
  06 079 San Luis Obispo          Ca       102    .45       154    .36
  06 087 Santa Cruz               Ca       101    .44       166    .39
  06 057 Nevada                   Ca        97    .43       209    .49
  06 083 Santa Barbara            Ca        95    .42       135    .32
  32 003 Clark                    Nv        88    .39       158    .37
  17 031 Cook                     Il        86    .38       138    .33
  06 023 Humboldt                 Ca        79    .35       125    .29
  48 113 Dallas                   Tx        79    .35       122    .29
  53 035 Kitsap                   Wa        77    .34       203    .48
  06 009 Calaveras                Ca        76    .33       163    .38
  41 067 Washington               Or        75    .33       173    .41
  06 033 Lake                     Ca        75    .33       146    .34
  49 035 Salt Lake                Ut        72    .32       172    .41
  41 051 Multnomah                Or        70    .31       126    .30
  53 053 Pierce                   Wa        68    .30       141    .33
  06 111 Ventura                  Ca        63    .28       130    .31
  06 107 Tulare                   Ca        63    .28       143    .34
  41 029 Jackson                  Or        62    .27       115    .27
  41 039 Lane                     Or        62    .27       121    .29
  08 005 Arapahoe                 Co        59    .26       142    .33
  06 109 Tuolumne                 Ca        56    .25       108    .25
  53 011 Clark                    Wa        56    .25       139    .33
  06 045 Mendocino                Ca        56    .25       106    .25
  06 047 Merced                   Ca        54    .24       139    .33
  41 005 Clackamas                Or        51    .22       129    .30
  51 059 Fairfax                  Va        47    .21       107    .25
  04 019 Pima                     Az        46    .20        97    .23
  53 063 Spokane                  Wa        45    .20        87    .21
  08 059 Jefferson                Co        45    .20       112    .26
  36 061 New York                 NY        44    .19        74    .17
  06 005 Amador                   Ca        40    .18        72    .17
  41 017 Deschutes                Or        39    .17        74    .17
  09 001 Fairfield                Ct        39    .17       118    .28
  53 061 Snohomish                Wa        38    .17        77    .18
  48 439 Tarrant                  Tx        37    .16        99    .23
  08 013 Boulder                  Co        37    .16        70    .17
  41 047 Marion                   Or        36    .16        71    .17
  08 031 Denver                   Co        36    .16        47    .11
  24 031 Montgomery               Md        36    .16        81    .19
  17 043 Du Page                  Il        35    .15        89    .21
  25 017 Middlesex                Ma        35    .15        58    .14
  15 009 Maui                     Hi        34    .15        53    .13
  12 025 Dade                     Fl        33    .15        73    .17
  27 053 Hennepin                 Mn        32    .14        63    .15
  16 001 Ada                      Id        32    .14        71    .17
  06 103 Tehama                   Ca        31    .14        63    .15
  35 001 Bernalillo               NM        30    .13        58    .14
  13 121 Fulton                   Ga        29    .13        63    .15
  49 049 Utah                     Ut        29    .13        59    .14
  06 039 Madera                   Ca        29    .13        76    .18
  08 041 El Paso                  Co        29    .13        51    .12
  48 339 Montgomery               Tx        28    .12        84    .20
  32 005 Douglas                  Nv        28    .12        67    .16
  09 003 Hartford                 Ct        27    .12        70    .17
  06 101 Sutter                   Ca        27    .12        52    .12
  06 115 Yuba                     Ca        27    .12        57    .13
  48 085 Collin                   Tx        27    .12        78    .18
  48 029 Bexar                    Tx        27    .12        75    .18
  53 067 Thurston                 Wa        26    .11        48    .11
  11 001 Wash.,D.C.               DC        25    .11        25    .06
  13 089 De Kalb                  Ga        25    .11        51    .12
  48 121 Denton                   Tx        24    .11        58    .14
  42 003 Allegheny                Pa        24    .11        46    .11
  06 031 Kings                    Ca        24    .11        57    .13
  26 125 Oakland                  Mi        23    .10        52    .12
  39 061 Hamilton                 Oh        23    .10        54    .13
  47 157 Shelby                   Tn        22    .10        54    .13
  48 157 Fort Bend                Tx        22    .10        67    .16
  48 141 El Paso                  Tx        22    .10        57    .13
  12 095 Orange                   Fl        22    .10        47    .11
  08 001 Adams                    Co        22    .10        48    .11
  12 011 Broward                  Fl        22    .10        43    .10
  39 049 Franklin                 Oh        22    .10        51    .12
  26 163 Wayne                    Mi        22    .10        44    .10
  37 183 Wake                     NC        21    .09        59    .14
  39 035 Cuyahoga                 Oh        21    .09        48    .11
  06 093 Siskiyou                 Ca        21    .09        42    .10
  32 510 Carson City city         Nv        21    .09        41    .10
  06 063 Plumas                   Ca        20    .09        38    .09
  48 453 Travis                   Tx        20    .09        46    .11
  17 097 Lake                     Il        20    .09        53    .13
  20 091 Johnson                  Ks        20    .09        54    .13
  15 001 Hawaii                   Hi        20    .09        37    .09
  41 033 Josephine                Or        19    .08        38    .09
  34 035 Somerset                 NJ        19    .08        34    .08
  34 027 Morris                   NJ        19    .08        51    .12
  53 005 Benton                   Wa        19    .08        53    .13
  36 055 Monroe                   NY        19    .08        49    .12
  53 073 Whatcom                  Wa        18    .08        44    .10
  49 011 Davis                    Ut        17    .07        50    .12
  12 099 Palm Beach               Fl        17    .07        32    .08
  51 810 Virginia Beach city      Va        17    .07        35    .08
  47 037 Davidson                 Tn        17    .07        42    .10
  26 111 Midland                  Mi        17    .07        49    .12
  02 020 Anchorage Borough        Ak        16    .07        31    .07
  12 031 Duval                    Fl        16    .07        31    .07
  13 067 Cobb                     Ga        16    .07        47    .11
  04 015 Mohave                   Az        16    .07        27    .06
  06 025 Imperial                 Ca        16    .07        51    .12
  40 109 Oklahoma                 Ok        16    .07        34    .08
  08 035 Douglas                  Co        16    .07        44    .10
  37 119 Mecklenburg              NC        16    .07        40    .09
  53 077 Yakima                   Wa        15    .07        23    .05
  25 021 Norfolk                  Ma        15    .07        31    .07
  29 189 St. Louis                Mo        15    .07        32    .08
  29 095 Jackson                  Mo        15    .07        30    .07
  53 029 Island                   Wa        15    .07        37    .09
  40 143 Tulsa                    Ok        15    .07        39    .09
