06 001   Alameda Total Migration  Ca     35997            61078
  32 031 Washoe                   Nv        96    .40       181    .40
  06 083 Santa Barbara            Ca        93    .38       146    .32
  06 087 Santa Cruz               Ca        91    .37       148    .33
  48 201 Harris                   Tx        85    .35       206    .46
  06 017 El Dorado                Ca        79    .33       140    .31
  48 113 Dallas                   Tx        77    .32       154    .34
  06 061 Placer                   Ca        76    .31       127    .28
  25 017 Middlesex                Ma        65    .27       113    .25
  36 061 New York                 NY        64    .26        99    .22
  32 003 Clark                    Nv        59    .24       103    .23
  06 029 Kern                     Ca        57    .23       123    .27
  49 035 Salt Lake                Ut        55    .23       126    .28
  06 047 Merced                   Ca        53    .22       101    .22
  51 059 Fairfax                  Va        51    .21       114    .25
  27 053 Hennepin                 Mn        51    .21       107    .24
  06 057 Nevada                   Ca        47    .19        85    .19
  08 005 Arapahoe                 Co        46    .19        84    .19
  04 019 Pima                     Az        45    .19        76    .17
  06 089 Shasta                   Ca        45    .19        79    .18
  24 031 Montgomery               Md        44    .18        76    .17
  09 001 Fairfield                Ct        42    .17        93    .21
  06 107 Tulare                   Ca        40    .16        78    .17
  08 031 Denver                   Co        40    .16        63    .14
  41 051 Multnomah                Or        40    .16        59    .13
  06 045 Mendocino                Ca        38    .16        79    .18
  42 003 Allegheny                Pa        38    .16        63    .14
  17 097 Lake                     Il        37    .15       100    .22
  06 023 Humboldt                 Ca        37    .15        56    .12
  06 033 Lake                     Ca        37    .15        75    .17
  12 025 Dade                     Fl        35    .14        62    .14
  48 453 Travis                   Tx        35    .14        67    .15
  12 011 Broward                  Fl        35    .14        81    .18
  17 043 Du Page                  Il        35    .14        84    .19
  41 039 Lane                     Or        35    .14        59    .13
  36 081 Queens                   NY        35    .14        61    .14
  48 439 Tarrant                  Tx        35    .14        94    .21
  49 049 Utah                     Ut        34    .14        84    .19
  29 189 St. Louis                Mo        34    .14        80    .18
  48 029 Bexar                    Tx        34    .14        78    .17
  26 163 Wayne                    Mi        33    .14        60    .13
  53 053 Pierce                   Wa        32    .13        75    .17
  12 099 Palm Beach               Fl        31    .13        59    .13
  08 013 Boulder                  Co        31    .13        60    .13
  26 125 Oakland                  Mi        30    .12        49    .11
  09 003 Hartford                 Ct        29    .12        46    .10
  47 157 Shelby                   Tn        29    .12        68    .15
  34 003 Bergen                   NJ        28    .12        54    .12
  06 109 Tuolumne                 Ca        27    .11        47    .10
  35 001 Bernalillo               NM        27    .11        59    .13
  02 020 Anchorage Borough        Ak        27    .11        47    .10
  08 059 Jefferson                Co        25    .10        45    .10
  06 009 Calaveras                Ca        25    .10        43    .10
  41 067 Washington               Or        24    .10        53    .12
  12 031 Duval                    Fl        24    .10        58    .13
  42 091 Montgomery               Pa        24    .10        41    .09
  25 025 Suffolk                  Ma        23    .09        26    .06
  22 071 Orleans                  La        23    .09        46    .10
  42 101 Philadelphia             Pa        23    .09        31    .07
  51 810 Virginia Beach city      Va        22    .09        44    .10
  36 059 Nassau                   NY        21    .09        34    .08
  53 035 Kitsap                   Wa        21    .09        43    .10
