33 001   Belknap Total Migration  NH      1462             2681
  33 009 Grafton                  NH       126   3.85       194   3.23
  25 017 Middlesex                Ma        96   2.93       155   2.58
  33 019 Sullivan                 NH        73   2.23       128   2.13
  33 017 Strafford                NH        72   2.20       139   2.32
  25 009 Essex                    Ma        51   1.56        95   1.58
  25 025 Suffolk                  Ma        36   1.10        49    .82
  33 007 Coos                     NH        34   1.04        56    .93
  25 021 Norfolk                  Ma        33   1.01        59    .98
  33 005 Cheshire                 NH        31    .95        47    .78
  23 031 York                     Me        30    .92        53    .88
  33 003 Carroll                  NH        30    .92        51    .85
  25 027 Worcester                Ma        27    .82        47    .78
  57 005 APO / FPO Zip Code       FR        26    .79        46    .77
  25 023 Plymouth                 Ma        24    .73        50    .83
  09 003 Hartford                 Ct        23    .70        43    .72
  50 007 Chittenden               Vt        19    .58        39    .65
  23 005 Cumberland               Me        18    .55        31    .52
  09 009 New Haven                Ct        18    .55        27    .45
  12 103 Pinellas                 Fl        17    .52        25    .42
  57 001 Foreign / Overseas       FR        17    .52        31    .52
  50 027 Windsor                  Vt        17    .52        34    .57
  09 001 Fairfield                Ct        15    .46        23    .38
  36 061 New York                 NY        15    .46        19    .32
  25 001 Barnstable               Ma        12    .37        22    .37
  06 037 Los Angeles              Ca        12    .37        21    .35
  23 019 Penobscot                Me        11    .34        24    .40
  36 059 Nassau                   NY        11    .34        18    .30
  09 011 New London               Ct        11    .34        19    .32
  12 057 Hillsborough             Fl        10    .31        16    .27
  06 073 San Diego                Ca        10    .31        18    .30
   Region 1:   Northeast                   312   9.52       589   9.82
   Region 2:   Midwest                      70   2.14       130   2.17
   Region 3:   South                       268   8.18       509   8.49
   Region 4:   West                        106   3.24       199   3.32
      33 013   County Non-Migrants       43172            96239
33 015   Rockingham Total Migrati NH      8175            14815
  25 009 Essex                    Ma      1882  23.02      3428  23.14
  33 011 Hillsborough             NH      1179  14.42      2099  14.17
  25 017 Middlesex                Ma       877  10.73      1606  10.84
  33 017 Strafford                NH       700   8.56      1147   7.74
  23 031 York                     Me       286   3.50       479   3.23
  33 013 Merrimack                NH       244   2.98       440   2.97
  25 025 Suffolk                  Ma       204   2.50       340   2.29
  25 021 Norfolk                  Ma       103   1.26       209   1.41
  25 027 Worcester                Ma        95   1.16       159   1.07
  23 005 Cumberland               Me        89   1.09       146    .99
  57 005 APO / FPO Zip Code       FR        74    .91       143    .97
  33 001 Belknap                  NH        74    .91       131    .88
  25 023 Plymouth                 Ma        67    .82       122    .82
  33 009 Grafton                  NH        64    .78       108    .73
  33 003 Carroll                  NH        54    .66        83    .56
  09 003 Hartford                 Ct        46    .56        66    .45
  33 005 Cheshire                 NH        36    .44        52    .35
  36 103 Suffolk                  NY        33    .40        63    .43
  25 005 Bristol                  Ma        31    .38        58    .39
  57 001 Foreign / Overseas       FR        30    .37        71    .48
  09 001 Fairfield                Ct        29    .35        52    .35
  25 013 Hampden                  Ma        29    .35        56    .38
  09 009 New Haven                Ct        28    .34        45    .30
  12 103 Pinellas                 Fl        28    .34        46    .31
  12 011 Broward                  Fl        27    .33        48    .32
  09 011 New London               Ct        24    .29        40    .27
  06 073 San Diego                Ca        24    .29        45    .30
  50 007 Chittenden               Vt        24    .29        38    .26
  12 099 Palm Beach               Fl        22    .27        42    .28
  06 037 Los Angeles              Ca        21    .26        31    .21
  33 007 Coos                     NH        21    .26        32    .22
  51 059 Fairfax                  Va        20    .24        38    .26
  04 013 Maricopa                 Az        20    .24        36    .24
  25 015 Hampshire                Ma        18    .22        28    .19
  36 061 New York                 NY        18    .22        30    .20
  36 059 Nassau                   NY        18    .22        33    .22
  44 007 Providence               RI        18    .22        24    .16
  23 001 Androscoggin             Me        17    .21        30    .20
  12 095 Orange                   Fl        17    .21        31    .21
  23 011 Kennebec                 Me        17    .21        32    .22
  06 059 Orange                   Ca        16    .20        33    .22
  06 085 Santa Clara              Ca        15    .18        23    .16
  33 019 Sullivan                 NH        15    .18        23    .16
  51 810 Virginia Beach city      Va        15    .18        36    .24
  34 027 Morris                   NJ        14    .17        27    .18
  23 003 Aroostook                Me        14    .17        23    .16
  23 019 Penobscot                Me        14    .17        25    .17
  25 001 Barnstable               Ma        14    .17        23    .16
  25 011 Franklin                 Ma        13    .16        28    .19
  09 013 Tolland                  Ct        13    .16        28    .19
  36 091 Saratoga                 NY        13    .16        26    .18
  36 047 Kings                    NY        13    .16        25    .17
  36 055 Monroe                   NY        13    .16        25    .17
  51 710 Norfolk city             Va        12    .15        18    .12
  48 113 Dallas                   Tx        12    .15        23    .16
  48 201 Harris                   Tx        12    .15        23    .16
  36 067 Onondaga                 NY        12    .15        28    .19
  50 023 Washington               Vt        12    .15        29    .20
