12 001   Alachua Total Migration  Fl      6194            10626
  06 037 Los Angeles              Ca        74    .74       116    .61
  51 059 Fairfax                  Va        64    .64       131    .69
  48 201 Harris                   Tx        63    .63       108    .57
  12 071 Lee                      Fl        62    .62       113    .60
  13 067 Cobb                     Ga        59    .59       121    .64
  12 083 Marion                   Fl        57    .57       107    .57
  36 103 Suffolk                  NY        55    .55       118    .62
  48 029 Bexar                    Tx        53    .53       119    .63
  13 089 De Kalb                  Ga        51    .51        81    .43
  12 087 Monroe                   Fl        51    .51        84    .44
  06 073 San Diego                Ca        50    .50        92    .49
  08 041 El Paso                  Co        49    .49       102    .54
  12 069 Lake                     Fl        48    .48        96    .51
  57 001 Foreign / Overseas       FR        46    .46       109    .58
  25 017 Middlesex                Ma        46    .46        84    .44
  04 013 Maricopa                 Az        43    .43        97    .51
  12 091 Okaloosa                 Fl        43    .43        86    .45
  17 031 Cook                     Il        39    .39        64    .34
  12 115 Sarasota                 Fl        39    .39        68    .36
  51 810 Virginia Beach city      Va        38    .38        86    .45
  24 031 Montgomery               Md        38    .38        65    .34
  12 019 Clay                     Fl        38    .38        76    .40
  37 119 Mecklenburg              NC        37    .37        68    .36
  08 013 Boulder                  Co        36    .36        86    .45
  13 121 Fulton                   Ga        36    .36        59    .31
  06 085 Santa Clara              Ca        36    .36        57    .30
  37 183 Wake                     NC        35    .35        74    .39
  12 033 Escambia                 Fl        35    .35        69    .36
  32 003 Clark                    Nv        33    .33        61    .32
  15 003 Honolulu                 Hi        33    .33        68    .36
  12 109 St. Johns                Fl        33    .33        64    .34
  42 003 Allegheny                Pa        32    .32        59    .31
  48 113 Dallas                   Tx        31    .31        50    .26
  12 085 Martin                   Fl        31    .31        53    .28
  01 089 Madison                  Al        29    .29        72    .38
  24 033 Prince George's          Md        29    .29        45    .24
  36 059 Nassau                   NY        29    .29        49    .26
  53 033 King                     Wa        29    .29        48    .25
  45 019 Charleston               SC        29    .29        50    .26
  13 135 Gwinnett                 Ga        28    .28        56    .30
  12 101 Pasco                    Fl        28    .28        48    .25
  06 059 Orange                   Ca        27    .27        54    .29
  39 113 Montgomery               Oh        26    .26        70    .37
  12 021 Collier                  Fl        26    .26        44    .23
  12 005 Bay                      Fl        26    .26        50    .26
  37 133 Onslow                   NC        24    .24        44    .23
  48 439 Tarrant                  Tx        24    .24        50    .26
  39 049 Franklin                 Oh        24    .24        47    .25
  01 073 Jefferson                Al        24    .24        44    .23
  48 453 Travis                   Tx        24    .24        57    .30
  21 111 Jefferson                Ky        23    .23        41    .22
  54 039 Kanawha                  WV        23    .23        46    .24
  47 037 Davidson                 Tn        23    .23        41    .22
  18 097 Marion                   In        23    .23        51    .27
  39 035 Cuyahoga                 Oh        22    .22        42    .22
  36 081 Queens                   NY        22    .22        34    .18
  47 093 Knox                     Tn        22    .22        35    .18
  35 001 Bernalillo               NM        21    .21        42    .22
  12 081 Manatee                  Fl        21    .21        27    .14
  47 157 Shelby                   Tn        21    .21        40    .21
  25 027 Worcester                Ma        21    .21        35    .18
  39 061 Hamilton                 Oh        21    .21        44    .23
  02 020 Anchorage Borough        Ak        20    .20        40    .21
  37 051 Cumberland               NC        20    .20        41    .22
  09 009 New Haven                Ct        20    .20        37    .20
  44 007 Providence               RI        19    .19        35    .18
  09 001 Fairfield                Ct        19    .19        28    .15
  34 005 Burlington               NJ        19    .19        27    .14
  09 003 Hartford                 Ct        19    .19        30    .16
  36 055 Monroe                   NY        19    .19        38    .20
  36 029 Erie                     NY        19    .19        34    .18
  45 051 Horry                    SC        18    .18        30    .16
  12 017 Citrus                   Fl        18    .18        28    .15
  26 163 Wayne                    Mi        18    .18        34    .18
  09 011 New London               Ct        18    .18        31    .16
  13 051 Chatham                  Ga        18    .18        30    .16
  12 055 Highlands                Fl        18    .18        41    .22
  39 153 Summit                   Oh        18    .18        35    .18
  36 067 Onondaga                 NY        18    .18        35    .18
  25 009 Essex                    Ma        17    .17        28    .15
  06 083 Santa Barbara            Ca        17    .17        41    .22
  08 031 Denver                   Co        17    .17        36    .19
  11 001 Wash.,D.C.               DC        17    .17        22    .12
  34 029 Ocean                    NJ        17    .17        32    .17
  36 065 Oneida                   NY        17    .17        37    .20
  08 001 Adams                    Co        17    .17        30    .16
  42 091 Montgomery               Pa        17    .17        34    .18
  37 067 Forsyth                  NC        16    .16        27    .14
  47 065 Hamilton                 Tn        16    .16        44    .23
  29 189 St. Louis                Mo        16    .16        36    .19
  01 097 Mobile                   Al        16    .16        44    .23
  37 021 Buncombe                 NC        16    .16        39    .21
  24 003 Anne Arundel             Md        16    .16        29    .15
  06 075 San Francisco            Ca        15    .15        31    .16
  08 059 Jefferson                Co        15    .15        25    .13
  01 101 Montgomery               Al        15    .15        30    .16
  36 047 Kings                    NY        15    .15        25    .13
  26 125 Oakland                  Mi        15    .15        24    .13
  53 053 Pierce                   Wa        15    .15        38    .20
  12 107 Putnam                   Fl        15    .15        30    .16
  55 079 Milwaukee                Wi        15    .15        16    .08
  28 047 Harrison                 Ms        14    .14        39    .21
  08 005 Arapahoe                 Co        14    .14        26    .14
  12 015 Charlotte                Fl        14    .14        31    .16
  51 710 Norfolk city             Va        14    .14        18    .10
  45 045 Greenville               SC        14    .14        30    .16
  24 005 Baltimore                Md        14    .14        21    .11
  48 027 Bell                     Tx        14    .14        27    .14
  34 023 Middlesex                NJ        14    .14        24    .13
  40 109 Oklahoma                 Ok        13    .13        22    .12
  45 015 Berkeley                 SC        13    .13        31    .16
  34 025 Monmouth                 NJ        13    .13        18    .10
  51 510 Alexandria city          Va        13    .13        22    .12
  49 035 Salt Lake                Ut        13    .13        25    .13
  34 003 Bergen                   NJ        13    .13        19    .10
  26 081 Kent                     Mi        13    .13        18    .10
  06 067 Sacramento               Ca        13    .13        30    .16
  13 245 Richmond                 Ga        13    .13        28    .15
  12 089 Nassau                   Fl        13    .13        29    .15
  47 009 Blount                   Tn        13    .13        30    .16
  33 011 Hillsborough             NH        13    .13        29    .15
  51 153 Prince William           Va        13    .13        28    .15
  12 053 Hernando                 Fl        12    .12        24    .13
  24 027 Howard                   Md        12    .12        24    .13
  22 103 St. Tammany              La        12    .12        25    .13
  17 043 Du Page                  Il        12    .12        15    .08
  17 097 Lake                     Il        12    .12        25    .13
  39 151 Stark                    Oh        12    .12        19    .10
  39 057 Greene                   Oh        12    .12        39    .21
  37 081 Guilford                 NC        12    .12        22    .12
  45 083 Spartanburg              SC        12    .12        23    .12
  13 039 Camden                   Ga        12    .12        30    .16
  01 003 Baldwin                  Al        12    .12        24    .13
  57 003 Foreign / Puerto Rico    FR        12    .12        35    .18
  09 007 Middlesex                Ct        12    .12        17    .09
  02 090 Fairbanks North Star Bor Ak        12    .12        20    .11
  51 700 Newport News city        Va        12    .12        32    .17
  37 113 Macon                    NC        11    .11        19    .10
  29 077 Greene                   Mo        11    .11        19    .10
  51 013 Arlington                Va        11    .11        16    .08
  31 153 Sarpy                    Ne        11    .11        27    .14
  54 081 Raleigh                  WV        11    .11        15    .08
  36 005 Bronx                    NY        11    .11        13    .07
  36 027 Dutchess                 NY        11    .11        15    .08
  06 087 Santa Cruz               Ca        11    .11        18    .10
  06 071 San Bernardino           Ca        11    .11        17    .09
  45 013 Beaufort                 SC        11    .11        21    .11
  06 001 Alameda                  Ca        11    .11        19    .10
  37 063 Durham                   NC        11    .11        22    .12
  18 003 Allen                    In        11    .11        16    .08
  06 053 Monterey                 Ca        11    .11        31    .16
